,wavelength,flux
165,1321.6305,1.222019276202339e-20
166,1321.7627,1.203867506285467e-20
167,1321.8949,1.1834351168148283e-20
168,1322.0271,1.195204414526745e-20
169,1322.1593,1.2128406560073458e-20
170,1322.2915,1.1812014732541367e-20
171,1322.4238,1.2129309005631654e-20
172,1322.556,1.223809087019035e-20
173,1322.6884,1.207631277415943e-20
174,1322.8206,1.207027530681975e-20
175,1322.9529,1.2152220188064814e-20
176,1323.0852,1.209540704547886e-20
177,1323.2175,1.2044461559228745e-20
178,1323.3499,1.256855039473273e-20
179,1323.4823,1.2387390998562938e-20
180,1323.6146,1.2378443521344146e-20
181,1323.7471,1.2213577054559086e-20
182,1323.8794,1.2440831256119862e-20
183,1324.0118,1.2450966798355643e-20
184,1324.1443,1.2475861031346897e-20
185,1324.2767,1.2218563871480725e-20
186,1324.4092,1.2251197363006892e-20
187,1324.5416,1.2488893665600712e-20
188,1324.6741,1.2294572339881225e-20
189,1324.8065,1.2449215372627817e-20
190,1324.9391,1.2503391692815056e-20
191,1325.0715,1.2362347813352144e-20
192,1325.2041,1.2525730042837468e-20
193,1325.3367,1.2379202619898978e-20
194,1325.4692,1.2476168490049224e-20
195,1325.6018,1.2521572219917695e-20
196,1325.7344,1.2558705873387223e-20
197,1325.867,1.2581693427497978e-20
198,1325.9995,1.243671518688326e-20
199,1326.1322,1.2274739746487044e-20
200,1326.2648,1.2471025978595076e-20
201,1326.3975,1.2534137977610112e-20
202,1326.5302,1.2592670863251521e-20
203,1326.6628,1.2578823744370194e-20
204,1326.7955,1.256781663297906e-20
205,1326.9282,1.2331389771221059e-20
206,1327.0609,1.2433150898426107e-20
207,1327.1936,1.234342806051416e-20
208,1327.3264,1.2504806310278171e-20
209,1327.4591,1.23718831453933e-20
210,1327.5919,1.2565831266264635e-20
211,1327.7247,1.2558032772494286e-20
212,1327.8574,1.2442754373687386e-20
213,1327.9902,1.2463067650537476e-20
214,1328.123,1.2235029079393853e-20
215,1328.256,1.2470619102338663e-20
216,1328.3888,1.2385765399974016e-20
217,1328.5216,1.2654735013267276e-20
218,1328.6545,1.2222821969006176e-20
219,1328.7874,1.2394600592450325e-20
220,1328.9203,1.2337884520319657e-20
221,1329.0532,1.2620596144918245e-20
222,1329.1862,1.2459634073551233e-20
223,1329.3191,1.2581084078629412e-20
224,1329.452,1.2348416627955212e-20
225,1329.585,1.2387503284753882e-20
226,1329.718,1.2533723829635935e-20
227,1329.851,1.2355401872849414e-20
228,1329.984,1.2329902889727329e-20
229,1330.1171,1.2223166499966655e-20
230,1330.25,1.242821199704788e-20
231,1330.383,1.2225129210114036e-20
232,1330.5161,1.2507082223563023e-20
233,1330.6492,1.2364134833816133e-20
234,1330.7823,1.2336304032574981e-20
235,1330.9154,1.2190471260878352e-20
236,1331.0486,1.2380051707592416e-20
237,1331.1816,1.1965160870977024e-20
238,1331.3148,1.2337740052049358e-20
239,1331.448,1.2225083031768146e-20
240,1331.5812,1.2257512703373023e-20
241,1331.7144,1.2464477799680761e-20
242,1331.8475,1.2019138259907314e-20
243,1331.9807,1.2140577005589391e-20
244,1332.1139,1.212161093436269e-20
245,1332.2472,1.2501350883344962e-20
246,1332.3804,1.2541018660069474e-20
247,1332.5137,1.244551229290848e-20
248,1332.647,1.2754673458108705e-20
249,1332.7803,1.2700293857734444e-20
250,1332.9136,1.280459291343592e-20
251,1333.0469,1.3167054075130439e-20
252,1333.1802,1.348204624301896e-20
253,1333.3135,1.3147311312407755e-20
254,1333.4469,1.378297346125847e-20
255,1333.5802,1.422157872232696e-20
256,1333.7136,1.4864463186950527e-20
257,1333.847,1.568196542245489e-20
258,1333.9803,1.6060846625554484e-20
259,1334.1138,1.6790243304527362e-20
260,1334.2473,1.753451370466364e-20
261,1334.3807,1.8237440620953054e-20
262,1334.5142,1.8742899486368886e-20
263,1334.6476,1.9009733231516102e-20
264,1334.7811,1.9151741332528858e-20
265,1334.9147,1.9243378148910307e-20
266,1335.0481,1.976797932366894e-20
267,1335.1816,1.982706441507244e-20
268,1335.3152,2.0614879774765067e-20
269,1335.4487,2.0577163753373206e-20
270,1335.5823,2.1134532341280506e-20
271,1335.716,2.062566850163773e-20
272,1335.8495,2.0261723005088008e-20
273,1335.9832,1.9543572618628472e-20
274,1336.1167,1.9081261277119806e-20
275,1336.2504,1.8396248558290857e-20
276,1336.384,1.7865919574573002e-20
277,1336.5177,1.7051401346503082e-20
278,1336.6514,1.6207758794865205e-20
279,1336.785,1.552887293304832e-20
280,1336.9187,1.5317009533961442e-20
281,1337.0525,1.500885573951069e-20
282,1337.1862,1.4833805601520003e-20
283,1337.32,1.476032600591355e-20
284,1337.4536,1.4759210835013505e-20
285,1337.5874,1.4198775560187888e-20
286,1337.7212,1.412046911823821e-20
287,1337.855,1.3675853242186592e-20
288,1337.9888,1.3484280418506153e-20
289,1338.1227,1.372706660260909e-20
290,1338.2565,1.3753208978326668e-20
291,1338.3903,1.360399486110042e-20
292,1338.5242,1.367718241127419e-20
293,1338.6581,1.3819968285764e-20
294,1338.792,1.413731385039551e-20
295,1338.9259,1.4000820209097415e-20
296,1339.0598,1.376759730140555e-20
297,1339.1937,1.371244145172852e-20
298,1339.3276,1.3979102252924356e-20
299,1339.4615,1.3984610615738015e-20
300,1339.5956,1.416659382997721e-20
301,1339.7295,1.4281108147515906e-20
302,1339.8635,1.432087657303216e-20
303,1339.9976,1.4519389446213098e-20
304,1340.1316,1.4510065477796597e-20
305,1340.2656,1.4384956872909785e-20
306,1340.3997,1.4492735467957933e-20
307,1340.5337,1.4353429380250073e-20
308,1340.6677,1.4742620102270057e-20
309,1340.8019,1.5006950938495377e-20
310,1340.9359,1.472878213623186e-20
311,1341.0701,1.4792369192935307e-20
312,1341.2042,1.497876896747421e-20
313,1341.3384,1.4642483389100247e-20
314,1341.4725,1.5037099150674435e-20
315,1341.6067,1.537544993297812e-20
316,1341.7408,1.4964577377159233e-20
317,1341.8751,1.510693035255768e-20
318,1342.0093,1.5510680635108243e-20
319,1342.1436,1.5557485708490705e-20
320,1342.2777,1.4951219152200813e-20
321,1342.412,1.5357110524427605e-20
322,1342.5463,1.5637699211379078e-20
323,1342.6805,1.5540118353416628e-20
324,1342.8148,1.557691031679736e-20
325,1342.9491,1.5375854259910772e-20
326,1343.0835,1.601675874427979e-20
327,1343.2178,1.5651403761472334e-20
328,1343.3522,1.581118038701238e-20
329,1343.4865,1.581864739659302e-20
330,1343.6208,1.599227760527434e-20
331,1343.7552,1.621415610426112e-20
332,1343.8896,1.6055906771265082e-20
333,1344.024,1.6277438792229777e-20
334,1344.1584,1.6117905122266622e-20
335,1344.2928,1.6174999991717594e-20
336,1344.4274,1.6329801037327794e-20
337,1344.5618,1.627600034392409e-20
338,1344.6963,1.625961344648983e-20
339,1344.8308,1.6319660258848448e-20
340,1344.9653,1.640756392407772e-20
341,1345.0999,1.6027677865231138e-20
342,1345.2344,1.6270351868628547e-20
343,1345.3689,1.6413530392642502e-20
344,1345.5034,1.644395853727957e-20
345,1345.6381,1.667416571401356e-20
346,1345.7726,1.6712102961370946e-20
347,1345.9072,1.641178566667862e-20
348,1346.0419,1.6690076464520426e-20
349,1346.1764,1.6812473043538614e-20
350,1346.311,1.6366420051304813e-20
351,1346.4457,1.6355192052257336e-20
352,1346.5804,1.6644402873428584e-20
353,1346.7151,1.6544625395012792e-20
354,1346.8497,1.6754677470978305e-20
355,1346.9845,1.66517540579451e-20
356,1347.1193,1.6528396925238716e-20
357,1347.2539,1.6594238951091615e-20
358,1347.3887,1.6654603164454843e-20
359,1347.5234,1.631353954839431e-20
360,1347.6582,1.6787214525509226e-20
361,1347.793,1.670846230054667e-20
362,1347.9279,1.6333696941309532e-20
363,1348.0626,1.6612896277417908e-20
364,1348.1975,1.6794340131860208e-20
365,1348.3323,1.647731077350076e-20
366,1348.4672,1.6338535321439624e-20
367,1348.602,1.635592554704773e-20
368,1348.7369,1.6775341391663777e-20
369,1348.8718,1.6658395727267255e-20
370,1349.0067,1.6553657743762975e-20
371,1349.1416,1.6503342791984038e-20
372,1349.2766,1.6401095619959894e-20
373,1349.4115,1.6207424932872383e-20
374,1349.5465,1.6349421890622747e-20
375,1349.6815,1.6530019599434667e-20
376,1349.8164,1.6629873931048366e-20
377,1349.9514,1.6426077143228672e-20
378,1350.0864,1.6526316495039206e-20
379,1350.2216,1.652583325473686e-20
380,1350.3566,1.6675624746946418e-20
381,1350.4916,1.6662577226213442e-20
382,1350.6267,1.6084858258281308e-20
383,1350.7617,1.6595373312192917e-20
384,1350.8969,1.628776823283592e-20
385,1351.032,1.6528738120165345e-20
386,1351.1671,1.6490510185978432e-20
387,1351.3022,1.6372271967815384e-20
388,1351.4374,1.6451961974127836e-20
389,1351.5725,1.6641585006076222e-20
390,1351.7078,1.6345168265775234e-20
391,1351.8429,1.6394365594142433e-20
392,1351.9781,1.6667907687229728e-20
393,1352.1134,1.663331916307987e-20
394,1352.2485,1.6373808490848156e-20
395,1352.3838,1.6447405162513074e-20
396,1352.519,1.6451154127344464e-20
397,1352.6544,1.645346058445614e-20
398,1352.7897,1.6391986546165623e-20
399,1352.9249,1.651917921622842e-20
400,1353.0603,1.626818332352016e-20
401,1353.1956,1.620844248975384e-20
402,1353.3309,1.6457626665967546e-20
403,1353.4663,1.659907743685466e-20
404,1353.6017,1.6168716953814366e-20
405,1353.737,1.6551266496336265e-20
406,1353.8724,1.653668860675597e-20
407,1354.0078,1.6549072480225292e-20
408,1354.1433,1.623449388865108e-20
409,1354.2787,1.6458279503460722e-20
410,1354.4142,1.6355252913143496e-20
411,1354.5497,1.6548134031841184e-20
412,1354.685,1.6274207150169632e-20
413,1354.8206,1.638345661113389e-20
414,1354.956,1.6534535174175868e-20
415,1355.0917,1.6530479077609515e-20
416,1355.2272,1.6386259675855374e-20
417,1355.3627,1.6231948938235675e-20
418,1355.4983,1.6371469819983872e-20
419,1355.6338,1.6642280513365722e-20
420,1355.7694,1.636002936480434e-20
421,1355.905,1.6428954870622363e-20
422,1356.0406,1.652470728042554e-20
423,1356.1763,1.6702319611100072e-20
424,1356.3119,1.682698750254962e-20
425,1356.4475,1.6577851616441835e-20
426,1356.5833,1.6227076905326278e-20
427,1356.7189,1.658367604695963e-20
428,1356.8546,1.6450066181899317e-20
429,1356.9904,1.6431133244641567e-20
430,1357.126,1.6655116453185362e-20
431,1357.2617,1.653866294386016e-20
432,1357.3975,1.6478900726518936e-20
433,1357.5333,1.6318009226019405e-20
434,1357.6691,1.6227853163995006e-20
435,1357.8048,1.6300325257386316e-20
436,1357.9407,1.6528521045576015e-20
437,1358.0764,1.6532761192115745e-20
438,1358.2123,1.640511616578028e-20
439,1358.3481,1.6291377508290715e-20
440,1358.484,1.6628709166721796e-20
441,1358.6199,1.636538097566391e-20
442,1358.7557,1.6895492985793137e-20
443,1358.8916,1.6201991132993265e-20
444,1359.0276,1.644907855836138e-20
445,1359.1635,1.650336627592374e-20
446,1359.2994,1.6522895278318478e-20
447,1359.4354,1.653908869695181e-20
448,1359.5713,1.6425494820484888e-20
449,1359.7073,1.6200795064608746e-20
450,1359.8433,1.6521859405947328e-20
451,1359.9794,1.6149590770261198e-20
452,1360.1154,1.630996957014542e-20
453,1360.2513,1.6344023479697113e-20
454,1360.3875,1.629109120303225e-20
455,1360.5234,1.6319081442688876e-20
456,1360.6595,1.6421664431588204e-20
457,1360.7957,1.6157075966978618e-20
458,1360.9318,1.5959114398530276e-20
459,1361.0679,1.648648404298206e-20
460,1361.204,1.6360197155091526e-20
461,1361.3401,1.6259247050165087e-20
462,1361.4763,1.6495357769896208e-20
463,1361.6124,1.6584070944075986e-20
464,1361.7487,1.6246718798821432e-20
465,1361.8849,1.6441038851291903e-20
466,1362.021,1.6462455536907497e-20
467,1362.1572,1.6259327533861283e-20
468,1362.2936,1.633975824933827e-20
469,1362.4298,1.6168614319210918e-20
470,1362.566,1.628200891514755e-20
471,1362.7023,1.615604950727767e-20
472,1362.8386,1.600147999798459e-20
473,1362.9749,1.633478321359557e-20
474,1363.1112,1.6031797365537728e-20
475,1363.2476,1.5981935670375824e-20
476,1363.3839,1.6494828618765896e-20
477,1363.5203,1.6436645059459035e-20
478,1363.6566,1.6491845322492376e-20
479,1363.7931,1.6419037930483506e-20
480,1363.9294,1.6291441051135762e-20
481,1364.0659,1.6417396183904764e-20
482,1364.2023,1.6296684866541657e-20
483,1364.3387,1.6372818094615375e-20
484,1364.4752,1.6376532332331595e-20
485,1364.6117,1.6068552502953258e-20
486,1364.7482,1.6204118518648914e-20
487,1364.8846,1.6202403521445394e-20
488,1365.0211,1.6305181879883308e-20
489,1365.1577,1.6737224024900074e-20
490,1365.2942,1.6419441536789513e-20
491,1365.4308,1.642487926577408e-20
492,1365.5674,1.6703111093217608e-20
493,1365.7039,1.660155629836878e-20
494,1365.8405,1.6386573283867984e-20
495,1365.977,1.649854097672447e-20
496,1366.1138,1.6508168696704346e-20
497,1366.2504,1.6638048220893217e-20
498,1366.387,1.6646165645276055e-20
499,1366.5237,1.6678001676587027e-20
500,1366.6604,1.6314474581438106e-20
501,1366.797,1.670076698276946e-20
502,1366.9337,1.6746769724917278e-20
503,1367.0704,1.6609611274133185e-20
504,1367.2072,1.6586049847142967e-20
505,1367.3439,1.6640798567349437e-20
506,1367.4807,1.662424873164536e-20
507,1367.6174,1.6731097211098375e-20
508,1367.7543,1.702968050532673e-20
509,1367.891,1.6956908506872988e-20
510,1368.0278,1.705184302919224e-20
511,1368.1647,1.722286357666786e-20
512,1368.3015,1.6917445069034584e-20
513,1368.4384,1.7132251566960285e-20
514,1368.5752,1.7182859280909816e-20
515,1368.7122,1.6950498601116896e-20
516,1368.849,1.6793132079056975e-20
517,1368.986,1.7151472645797374e-20
518,1369.1228,1.7278747468213383e-20
519,1369.2598,1.7151197484207796e-20
520,1369.3967,1.6982789538627813e-20
521,1369.5337,1.7228307087829143e-20
522,1369.6707,1.7297591339688053e-20
523,1369.8076,1.6995337506509897e-20
524,1369.9447,1.739760065038498e-20
525,1370.0817,1.70415946456232e-20
526,1370.2188,1.7044079805705702e-20
527,1370.3557,1.7036406985285616e-20
528,1370.4928,1.707504241976948e-20
529,1370.6299,1.751194447047233e-20
530,1370.767,1.742838200425002e-20
531,1370.904,1.7659505867167278e-20
532,1371.0411,1.7669500965320758e-20
533,1371.1783,1.7806275416355958e-20
534,1371.3154,1.7530564162996156e-20
535,1371.4526,1.7646180143364682e-20
536,1371.5897,1.788506578828476e-20
537,1371.7269,1.7445729640044566e-20
538,1371.8641,1.8039052636375036e-20
539,1372.0013,1.7457120171659657e-20
540,1372.1385,1.7947059443637917e-20
541,1372.2758,1.7796781531555913e-20
542,1372.4131,1.7569271265174384e-20
543,1372.5503,1.8082481957736032e-20
544,1372.6876,1.796641592510021e-20
545,1372.825,1.776136283269087e-20
546,1372.9622,1.7513349419729423e-20
547,1373.0995,1.7995909645674064e-20
548,1373.2368,1.825320786040377e-20
549,1373.3741,1.8099583694677304e-20
550,1373.5116,1.8055800248930547e-20
551,1373.6489,1.8237563126258384e-20
552,1373.7864,1.794318382073999e-20
553,1373.9237,1.821466423488577e-20
554,1374.0612,1.8087993845589972e-20
555,1374.1986,1.810108954246154e-20
556,1374.336,1.8227397765875873e-20
557,1374.4735,1.785552542718291e-20
558,1374.611,1.7723127524966195e-20
559,1374.7484,1.7997521545867237e-20
560,1374.8859,1.821842480827118e-20
561,1375.0234,1.8180408332149547e-20
562,1375.161,1.8235918532426403e-20
563,1375.2985,1.8161082484420763e-20
564,1375.436,1.8219047421489612e-20
565,1375.5736,1.798321268724139e-20
566,1375.7112,1.8131418842028076e-20
567,1375.8488,1.83382877138942e-20
568,1375.9865,1.8105714259713154e-20
569,1376.124,1.8040910373376055e-20
570,1376.2616,1.8451769270883048e-20
571,1376.3993,1.8144457403503867e-20
572,1376.537,1.8329506024811197e-20
573,1376.6747,1.847921380063287e-20
574,1376.8124,1.8063914123029468e-20
575,1376.9501,1.8110578017157738e-20
576,1377.0878,1.8293985124572563e-20
577,1377.2255,1.7803155489412635e-20
578,1377.3633,1.805708630757502e-20
579,1377.501,1.802180376908739e-20
580,1377.6388,1.8267834106526782e-20
581,1377.7765,1.8374612024243187e-20
582,1377.9143,1.8097880176404246e-20
583,1378.0521,1.8398208336603246e-20
584,1378.19,1.8325119634077333e-20
585,1378.3279,1.8351161921271986e-20
586,1378.4657,1.8348310080476245e-20
587,1378.6035,1.825093288319225e-20
588,1378.7415,1.805942666158444e-20
589,1378.8794,1.8068523968256685e-20
590,1379.0172,1.83621479717338e-20
591,1379.1552,1.8375538862770073e-20
592,1379.2931,1.8085897194970896e-20
593,1379.431,1.77917080686525e-20
594,1379.569,1.8052164734320563e-20
595,1379.707,1.7912644565692998e-20
596,1379.845,1.814218790729086e-20
597,1379.983,1.804737170840888e-20
598,1380.121,1.7937924662998527e-20
599,1380.259,1.823335759627221e-20
600,1380.3971,1.7985632245642924e-20
601,1380.5352,1.8244679460301428e-20
602,1380.6732,1.796876337330534e-20
603,1380.8114,1.7804918791502312e-20
604,1380.9495,1.7907783979233973e-20
605,1381.0875,1.822140349278656e-20
606,1381.2257,1.8224515264992493e-20
607,1381.3639,1.8032408611932213e-20
608,1381.502,1.809053109075522e-20
609,1381.6401,1.7696635417226007e-20
610,1381.7783,1.808291158498764e-20
611,1381.9165,1.7846955031053686e-20
612,1382.0548,1.7935961609806868e-20
613,1382.193,1.805982308200584e-20
614,1382.3313,1.8081028377572798e-20
615,1382.4695,1.8239075834268838e-20
616,1382.6078,1.8092663603328027e-20
617,1382.7461,1.8049631338491767e-20
618,1382.8844,1.8269752250538378e-20
619,1383.0227,1.7774334234729818e-20
620,1383.161,1.7688241469767e-20
621,1383.2993,1.7947747366349816e-20
622,1383.4376,1.779814219708852e-20
623,1383.576,1.7492740977329375e-20
624,1383.7145,1.7860792239253333e-20
625,1383.8528,1.76885689114548e-20
626,1383.9912,1.796102400365421e-20
627,1384.1296,1.7751762753378118e-20
628,1384.2681,1.7809407826447996e-20
629,1384.4065,1.8026024544978395e-20
630,1384.545,1.7914461561880796e-20
631,1384.6835,1.8151318359023146e-20
632,1384.822,1.8213677405497367e-20
633,1384.9604,1.8048756008043093e-20
634,1385.099,1.789280688298191e-20
635,1385.2375,1.7640412257938784e-20
636,1385.3761,1.781257772067776e-20
637,1385.5146,1.8056897710675844e-20
638,1385.6532,1.8093684115996176e-20
639,1385.7917,1.773898382927331e-20
640,1385.9304,1.8025125303968595e-20
641,1386.069,1.7905437866680328e-20
642,1386.2076,1.775191944227217e-20
643,1386.3463,1.7765302688463115e-20
644,1386.485,1.8288704858782392e-20
645,1386.6237,1.7912566307926798e-20
646,1386.7623,1.8331220877322778e-20
647,1386.901,1.7954530126382703e-20
648,1387.0397,1.8080509658298334e-20
649,1387.1785,1.815194639307862e-20
650,1387.3171,1.8164177663609786e-20
651,1387.4559,1.8015565947305033e-20
652,1387.5947,1.824759063274218e-20
653,1387.7335,1.823795141937489e-20
654,1387.8723,1.8267313925034562e-20
655,1388.0111,1.7865516497792474e-20
656,1388.1499,1.8553231745710452e-20
657,1388.2888,1.8492497866813165e-20
658,1388.4276,1.8435566888495862e-20
659,1388.5665,1.7870728984133083e-20
660,1388.7053,1.8319410787546198e-20
661,1388.8442,1.8444241391382003e-20
662,1388.9832,1.817079432761959e-20
663,1389.1221,1.8582243820105036e-20
664,1389.261,1.8606900020173912e-20
665,1389.4,1.8290761241859832e-20
666,1389.539,1.8292551499902632e-20
667,1389.6779,1.847209147411712e-20
668,1389.8169,1.845110777114548e-20
669,1389.9559,1.862825250081515e-20
670,1390.095,1.8510169634261657e-20
671,1390.234,1.8720984912474674e-20
672,1390.373,1.8963655671617107e-20
673,1390.5121,1.8896855473046357e-20
674,1390.6511,1.8439665674996616e-20
675,1390.7902,1.8697981925889944e-20
676,1390.9293,1.8859080742315248e-20
677,1391.0685,1.8853506313371686e-20
678,1391.2075,1.885318339220199e-20
679,1391.3467,1.874962462286848e-20
680,1391.4858,1.8866502540312012e-20
681,1391.625,1.90909767481523e-20
682,1391.7643,1.923928648888549e-20
683,1391.9034,1.9115382075840635e-20
684,1392.0426,1.888389528611519e-20
685,1392.1819,1.9027039507934106e-20
686,1392.3212,1.9101594884982722e-20
687,1392.4603,1.926802701788261e-20
688,1392.5996,1.939661128701954e-20
689,1392.7389,1.949577940811467e-20
690,1392.8782,1.9307341801208264e-20
691,1393.0176,1.9787065267258716e-20
692,1393.1569,1.9722445565978832e-20
693,1393.2961,1.9398824443881995e-20
694,1393.4355,1.9531966327394708e-20
695,1393.575,1.9523787605539272e-20
696,1393.7142,1.9804424831093568e-20
697,1393.8536,1.9735192637728974e-20
698,1393.993,1.9545643646990446e-20
699,1394.1326,2.005008676842595e-20
700,1394.272,1.9952654541630075e-20
701,1394.4114,1.9915350557834116e-20
702,1394.5509,1.985027333873037e-20
703,1394.6903,2.0155892752763167e-20
704,1394.8298,2.0061745014961216e-20
705,1394.9694,1.9781929091379188e-20
706,1395.1089,1.9378203652919895e-20
707,1395.2484,1.9534323073974788e-20
708,1395.388,1.9563180937565716e-20
709,1395.5275,1.9554182277862302e-20
710,1395.6671,1.954714500258299e-20
711,1395.8066,1.981801632772011e-20
712,1395.9463,1.944088132082851e-20
713,1396.0859,1.918087257004011e-20
714,1396.2255,1.95366834850299e-20
715,1396.3651,1.941987210215877e-20
